current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Logging to logs/A3C_20260329-162852
current_dir=/home/ssenthilbabu/miniconda3/envs/rbe577_a3c/lib/python3.8/site-packages/pybullet_envs/bullet
Worker 2 | Episode 790 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.1859 | Critic Loss: 0.0558 | Sigma: 0.3111
Worker 5 | Episode 800 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.0716 | Critic Loss: 0.0613 | Sigma: 0.3111
Worker 5 | Episode 810 | Reward: 0.00 | Avg: 0.10 | Actor Loss: 0.0675 | Critic Loss: 0.0581 | Sigma: 0.3111
Worker 5 | Episode 820 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.2290 | Critic Loss: 0.0518 | Sigma: 0.3112
Worker 2 | Episode 830 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.0734 | Critic Loss: 0.3906 | Sigma: 0.3112
Worker 4 | Episode 840 | Reward: 0.00 | Avg: 0.20 | Actor Loss: 0.0749 | Critic Loss: 0.0488 | Sigma: 0.3112
Worker 4 | Episode 850 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0978 | Critic Loss: 0.0470 | Sigma: 0.3113
Worker 0 | Episode 860 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.1656 | Critic Loss: 0.0468 | Sigma: 0.3113
Worker 3 | Episode 870 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.0182 | Critic Loss: 0.0474 | Sigma: 0.3113
Worker 2 | Episode 880 | Reward: 0.00 | Avg: 0.30 | Actor Loss: -0.0040 | Critic Loss: 0.0432 | Sigma: 0.3114
Worker 1 | Episode 890 | Reward: 0.00 | Avg: 0.40 | Actor Loss: -0.2712 | Critic Loss: 0.0524 | Sigma: 0.3113
Worker 2 | Episode 900 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.0901 | Critic Loss: 0.0634 | Sigma: 0.3112
Worker 1 | Episode 910 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.0151 | Critic Loss: 0.0790 | Sigma: 0.3110
Worker 1 | Episode 920 | Reward: 0.00 | Avg: 0.00 | Actor Loss: -0.1256 | Critic Loss: 0.0896 | Sigma: 0.3109
Worker 2 | Episode 930 | Reward: 1.00 | Avg: 0.60 | Actor Loss: 0.3151 | Critic Loss: 0.3308 | Sigma: 0.3111
Worker 3 | Episode 940 | Reward: 0.00 | Avg: 0.50 | Actor Loss: 0.0159 | Critic Loss: 0.0909 | Sigma: 0.3109
Worker 5 | Episode 950 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.1768 | Critic Loss: 0.2951 | Sigma: 0.3108
Worker 2 | Episode 960 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.3610 | Critic Loss: 0.2722 | Sigma: 0.3109
Worker 0 | Episode 970 | Reward: 0.00 | Avg: 0.20 | Actor Loss: -0.1767 | Critic Loss: 0.0966 | Sigma: 0.3110
Worker 5 | Episode 980 | Reward: 1.00 | Avg: 0.30 | Actor Loss: 0.4882 | Critic Loss: 0.3433 | Sigma: 0.3111
Worker 4 | Episode 990 | Reward: 0.00 | Avg: 0.50 | Actor Loss: -0.0251 | Critic Loss: 0.0642 | Sigma: 0.3112
